Project#,imaged,Morphospecies#,MorphospeciesName,phylum,subphylum,superclass,class,subclass,infraclass,subterclass,superorder,order,suborder,infraorder,parvorder,Zoosection,Zoosubsection,superfamily,epifamily,family,subfamily,supertribe,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,Scientific Name,sex,identifiedBy,identificationRemarks,identificationQualifier,individualCount,lifeStage,preparations,establismentMeans ,basisOfRecord,institutionID,institutionCode,datasetID,catalogNumber,collectionCode,occurrenceRemarks,recordedBy,associatedMedia,associatedTaxa,associatedReferences,associatedSequences,eventID,parentEventID,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,eventTime,year,month,day,habitat,fieldNumber,fieldNotes,eventRemarks,locationID,islandGroup,island,country,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verticalDatum,minimumElevationInMeters,maximumElevationInMeters,verbatimLatitude,verbatimLongitude,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceRemarks,
SBBG-SR_000981,n,SBBG-SR_000065,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hemiptera,Sternorrhyncha,Aphidomorpha,,,,Aphidoidea,,Aphididae,,,,,,,,,,,Fritz Light,to morphospecies SBBG-SR_000065,,31,,,,PreservedSpecimen,SBBG,,SBBG-SR,000981,,,Denise A. Knapp | Kathryn McEachern,,,,,4N-C_20170404,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,4,pitfall in annual grassland with 84% veg cover,,,,4N-C,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,468 m,,,,Zone10 E767172,Zone10 N3760493,33.95103,-120.10901,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000982,n,SBBG-SR_000002,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hemiptera,Auchenorrhyncha,Cicadomorpha,,,,Membracoidea,,Cicadellidae,,,,,,,,,,,Fritz Light  ,to SBBG-SR_000002,,6,,,,PreservedSpecimen,SBBG,,SBBG-SR,000982,,,Denise A. Knapp | Kathryn McEachern,,,,,4N-C_20170404,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,4,pitfall in annual grassland with 84% veg cover,,,,4N-C,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,468 m,,,,Zone10 E767172,Zone10 N3760493,33.95103,-120.10901,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000983,n,SBBG-SR_000021,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Thysanoptera,Terebrantia,,,,,,,Thripidae,,,,,,,,,,,Fritz Light,to morphospecies SBBG-SR_000021,,13,,,,PreservedSpecimen,SBBG,,SBBG-SR,000983,,,Denise A. Knapp | Kathryn McEachern,,,,,4N-C_20170404,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,4,pitfall in annual grassland with 84% veg cover,,,,4N-C,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,468 m,,,,Zone10 E767172,Zone10 N3760493,33.95103,-120.10901,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000984,n,SBBG-SR_000129,,Arthropoda,Hexapoda,,Entognatha,Collembola,,,,Symphypleona,,,,,,Sminthuroidea,,Bourletiellidae,,,,,Bourletiella,,hortensis,,Bourletiella hortensis,,Fritz Light  ,to morphospecies SBBG-SR_000129,,1,,,,PreservedSpecimen,SBBG,,SBBG-SR,000984,,,Denise A. Knapp | Kathryn McEachern,,,,,4N-C_20170404,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,4,pitfall in annual grassland with 84% veg cover,,,,4N-C,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,468 m,,,,Zone10 E767172,Zone10 N3760493,33.95103,-120.10901,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000985,n,SBBG-SR_000093,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Diptera,Nematocera,Bibionomorpha,,,,Sciaroidea,,Sciaridae,,,,,,,,,,,Fritz Light   ,to morphospecies SBBG-SR_000093,,1,,,,PreservedSpecimen,SBBG,,SBBG-SR,000985,,,Denise A. Knapp | Kathryn McEachern,,,,,4N-C_20170404,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,4,pitfall in annual grassland with 84% veg cover,,,,4N-C,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,468 m,,,,Zone10 E767172,Zone10 N3760493,33.95103,-120.10901,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000986,n,SBBG-SR_000032,,Arthropoda,Hexapoda,,Entognatha,Collembola,,,,Poduromorpha,,,,,,,,Hypogastruridae,,,,,,,,,,,Fritz Light,to morphospecies SBBG-SR_000032,,10,,,,PreservedSpecimen,SBBG,,SBBG-SR,000986,,,Denise A. Knapp | Kathryn McEachern,,,,,4N-C_20170404,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,4,pitfall in annual grassland with 84% veg cover,,,,4N-C,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,468 m,,,,Zone10 E767172,Zone10 N3760493,33.95103,-120.10901,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000987,n,SBBG-SR_000102,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hemiptera,Auchenorrhyncha,Cicadomorpha,,,,Membracoidea,,Cicadellidae,,,,,,,,,,,Fritz Light ,to morphospecies SBBG-SR_000102,,11,,,,PreservedSpecimen,SBBG,,SBBG-SR,000987,,,Denise A. Knapp | Kathryn McEachern,,,,,4N-C_20170404,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,4,pitfall in annual grassland with 84% veg cover,,,,4N-C,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,468 m,,,,Zone10 E767172,Zone10 N3760493,33.95103,-120.10901,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000988,n,SBBG-SR_000082,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hemiptera,Sternorrhyncha,Aphidomorpha,,,,Aphidoidea,,Aphididae,,,,,,,,,,,Fritz Light,to morphospecies SBBG-SR_000082,,26,,,,PreservedSpecimen,SBBG,,SBBG-SR,000988,,,Denise A. Knapp | Kathryn McEachern,,,,,4N-C_20170404,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,4,pitfall in annual grassland with 84% veg cover,,,,4N-C,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,468 m,,,,Zone10 E767172,Zone10 N3760493,33.95103,-120.10901,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000989,n,SBBG-SR_000035,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Proctotrupomorpha,,,,Platygastroidea,,Scelionidae,Scelioninae,,,,Exon,,,,,,Fritz Light   ,to Exon morphospecies SBBG-SR_000035,,1,,,,PreservedSpecimen,SBBG,,SBBG-SR,000989,,,Denise A. Knapp | Kathryn McEachern,,,,,4N-C_20170404,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,4,pitfall in annual grassland with 84% veg cover,,,,4N-C,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,468 m,,,,Zone10 E767172,Zone10 N3760493,33.95103,-120.10901,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000990,n,SBBG-SR_000100,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hemiptera,Sternorrhyncha,Aphidomorpha,,,,Aphidoidea,,Aphididae,,,,,,,,,,,Fritz Light,to morphospecies SBBG-SR_000100,,14,,,,PreservedSpecimen,SBBG,,SBBG-SR,000990,,,Denise A. Knapp | Kathryn McEachern,,,,,4N-C_20170404,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,4,pitfall in annual grassland with 84% veg cover,,,,4N-C,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,468 m,,,,Zone10 E767172,Zone10 N3760493,33.95103,-120.10901,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000991,n,SBBG-SR_000001,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hemiptera,Auchenorrhyncha,Cicadomorpha,,,,Membracoidea,,Cicadellidae,Deltocephalinae,,Paralimnini,Paralimnina,,,,,,,Fritz Light  ,to morphospecies SBBG-SR_000001,,5,,,,PreservedSpecimen,SBBG,,SBBG-SR,000991,,,Denise A. Knapp | Kathryn McEachern,,,,,4N-C_20170404,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,4,pitfall in annual grassland with 84% veg cover,,,,4N-C,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,468 m,,,,Zone10 E767172,Zone10 N3760493,33.95103,-120.10901,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000992,n,SBBG-SR_000101,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hemiptera,Auchenorrhyncha,Cicadomorpha,,,,Membracoidea,,Cicadellidae,,,,,,,,,,,Fritz Light,to morphospecies SBBG-SR_000101,,3,,,,PreservedSpecimen,SBBG,,SBBG-SR,000992,,,Denise A. Knapp | Kathryn McEachern,,,,,4N-C_20170404,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,4,pitfall in annual grassland with 84% veg cover,,,,4N-C,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,468 m,,,,Zone10 E767172,Zone10 N3760493,33.95103,-120.10901,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000993,n,SBBG-SR_000143,,Arthropoda,Hexapoda,,Entognatha,Collembola,,,,Entomobryomorpha,,,,,,Entomobryoidea,,Entomobryidae,,,,,Entomobrya,,unostrigata,,Entomobrya unostrigata,,Fritz Light  ,to morphospecies SBBG-SR_000143,,2,,,,PreservedSpecimen,SBBG,,SBBG-SR,000993,,,Denise A. Knapp | Kathryn McEachern,,,,,4N-C_20170404,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,4,pitfall in annual grassland with 84% veg cover,,,,4N-C,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,468 m,,,,Zone10 E767172,Zone10 N3760493,33.95103,-120.10901,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000994,n,SBBG-SR_000099,,Arthropoda,Hexapoda,,Entognatha,Collembola,,,,Entomobryomorpha,,,,,,Entomobryoidea,,Entomobryidae,,,,,Entomobrya,,,,,,Fritz Light | Kylie J. Etter,to morphospecies SBBG-SR_000099 | potentially two different ,,1,,,,PreservedSpecimen,SBBG,,SBBG-SR,000994,,,Denise A. Knapp | Kathryn McEachern,,,,,4N-C_20170404,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,4,pitfall in annual grassland with 84% veg cover,,,,4N-C,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,468 m,,,,Zone10 E767172,Zone10 N3760493,33.95103,-120.10901,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000995,n,SBBG-SR_000052,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hemiptera,Auchenorrhyncha,Cicadomorpha,,,,Membracoidea,,Cicadellidae,,,,,,,,,,,Fritz Light,to morphospecies SBBG-SR_000052,,2,,,,PreservedSpecimen,SBBG,,SBBG-SR,000995,,,Denise A. Knapp | Kathryn McEachern,,,,,4N-C_20170404,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,4,pitfall in annual grassland with 84% veg cover,,,,4N-C,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,468 m,,,,Zone10 E767172,Zone10 N3760493,33.95103,-120.10901,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000996,n,SBBG-SR_000106,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Coleoptera,Polyphaga,Staphyliniformia,,,,Staphylinoidea,,Staphylinidae,,,,,,,,,,,Fritz Light  ,to morphospecies SBBG-SR_000106,,1,,,,PreservedSpecimen,SBBG,,SBBG-SR,000996,,,Denise A. Knapp | Kathryn McEachern,,,,,4N-C_20170404,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,4,pitfall in annual grassland with 84% veg cover,,,,4N-C,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,468 m,,,,Zone10 E767172,Zone10 N3760493,33.95103,-120.10901,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000997,n,SBBG-SR_000013,,Arthropoda,Hexapoda,,Entognatha,Collembola,,,,Symphypleona,,,,,,Sminthuroidea,,Bourletiellidae,,,,,,,,,,,Fritz Light  ,to SBBG-SR_000013,,2,,,,PreservedSpecimen,SBBG,,SBBG-SR,000997,,,Denise A. Knapp | Kathryn McEachern,,,,,4N-C_20170404,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,4,pitfall in annual grassland with 84% veg cover,,,,4N-C,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,468 m,,,,Zone10 E767172,Zone10 N3760493,33.95103,-120.10901,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000998,n,SBBG-SR_000058,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hemiptera,Sternorrhyncha,Aphidomorpha,,,,Aphidoidea,,Aphididae,,,,,,,,,,,Fritz Light   ,to morphospecies SBBG-SR_000058,,3,,,,PreservedSpecimen,SBBG,,SBBG-SR,000998,,,Denise A. Knapp | Kathryn McEachern,,,,,4N-C_20170404,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,4,pitfall in annual grassland with 84% veg cover,,,,4N-C,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,468 m,,,,Zone10 E767172,Zone10 N3760493,33.95103,-120.10901,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_000999,n,SBBG-SR_000083,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hemiptera,Sternorrhyncha,Aphidomorpha,,,,Aphidoidea,,Aphididae,Aphidinae,,Macrosiphini,,Acyrthosiphon,,pisum,,Acyrthosiphon pisum,,Fritz Light   ,to morphospecies SBBG-SR_000083,,14,,,,PreservedSpecimen,SBBG,,SBBG-SR,000999,,,Denise A. Knapp | Kathryn McEachern,,,,,4N-C_20170404,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,4,pitfall in annual grassland with 84% veg cover,,,,4N-C,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,468 m,,,,Zone10 E767172,Zone10 N3760493,33.95103,-120.10901,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_001000,n,SBBG-SR_000048,,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,,,Peracarida,Isopoda,Oniscidea,Holoverticata,,,,,,Armadillidiidae,,,,,Armadillidium,,vulgare,,,,Fritz Light  ,to morphospecies SBBG-SR_000048,,3,,,,PreservedSpecimen,SBBG,,SBBG-SR,001000,,,Denise A. Knapp | Kathryn McEachern,,,,,4N-C_20170404,,pitfall traps: five 4 oz (118 ml) laboratory specimen containers,24,hours,24 hours,,2017,4,4,pitfall in annual grassland with 84% veg cover,,,,4N-C,Channel Islands,Santa Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,,468 m,,,,Zone10 E767172,Zone10 N3760493,33.95103,-120.10901,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_001001,y,SBBG-SR_001001,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Apoidea,,Apidae,Apinae,,Eucerini,,Melissodes,,cf. lupina,,,male,Stephanie Calloway | John Ascher | Kylie Etter,to Melissodes | Melissodes confirmed on iNaturalist | to RA-CINP.2660 male Melissodes lupina,,1,,Pinned specimen,,PreservedSpecimen,UCRC ENT,,SBBG-SR,001001,,,Stephanie Calloway | Denise Knapp,https://www.inaturalist.org/observations/66627538,,,,4S-PT_20170621,,Pan Trap,,,,,2017,6,21,perennial grassland with 20% veg cover,,"one tipped over, one gone (fox?)",,4S_Center,Channel Islands,San Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,Soledad Ridge,464,,,,Zone10 E767604,Zone10 N3760345,33.94959,-120.10439,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_001002,y,SBBG-SR_001001,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Apoidea,,Apidae,Apinae,,Eucerini,,Melissodes,,cf. lupina,,,female,Stephanie Calloway | John Ascher | Kylie Etter,to morphospecies SBBG-SR_001002 | Melissodes confirmed on iNaturalist |  to RA-CINP.1082 female Melissodes lupina,,1,,Pinned specimen,,PreservedSpecimen,UCRC ENT,,SBBG-SR,001002,,,Stephanie Calloway | Denise Knapp,https://www.inaturalist.org/observations/66627540,,,,4S-PT_20170621,,Pan Trap,,,,,2017,6,21,perennial grassland with 20% veg cover,,"one tipped over, one gone (fox?)",,4S_Center,Channel Islands,San Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,Soledad Ridge,464,,,,Zone10 E767604,Zone10 N3760345,33.94959,-120.10439,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_001003,n,SBBG-SR_001001,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Apoidea,,Apidae,Apinae,,Eucerini,,Melissodes,,cf. lupina,,,female,Stephanie Calloway,to morphospecies SBBG-SR_001002,,1,,Pinned specimen,,PreservedSpecimen,UCRC ENT,,SBBG-SR,001003,,,Stephanie Calloway | Denise Knapp,,,,,4S-PT_20170621,,Pan Trap,,,,,2017,6,21,perennial grassland with 20% veg cover,,"one tipped over, one gone (fox?)",,4S_Center,Channel Islands,San Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,Soledad Ridge,464,,,,Zone10 E767604,Zone10 N3760345,33.94959,-120.10439,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_001004,n,SBBG-SR_001001,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Apoidea,,Apidae,Apinae,,Eucerini,,Melissodes,,cf. lupina,,,male,Stephanie Calloway,to morphospecies SBBG-SR_001002,,1,,Pinned specimen,,PreservedSpecimen,UCRC ENT,,SBBG-SR,001004,,,Stephanie Calloway | Denise Knapp,,,,,4S-PT_20170621,,Pan Trap,,,,,2017,6,21,perennial grassland with 20% veg cover,,"one tipped over, one gone (fox?)",,4S_Center,Channel Islands,San Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,Soledad Ridge,464,,,,Zone10 E767604,Zone10 N3760345,33.94959,-120.10439,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_001005,n,SBBG-SR_001001,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Apoidea,,Apidae,Apinae,,Eucerini,,Melissodes,,cf. lupina,,,male,Stephanie Calloway,to morphospecies SBBG-SR_001002,,1,,Pinned specimen,,PreservedSpecimen,UCRC ENT,,SBBG-SR,001005,,,Stephanie Calloway | Denise Knapp,,,,,4S-PT_20170621,,Pan Trap,,,,,2017,6,21,perennial grassland with 20% veg cover,,"one tipped over, one gone (fox?)",,4S_Center,Channel Islands,San Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,Soledad Ridge,464,,,,Zone10 E767604,Zone10 N3760345,33.94959,-120.10439,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_001006,n,SBBG-SR_001001,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Apoidea,,Apidae,Apinae,,Eucerini,,Melissodes,,cf. lupina,,,male,Stephanie Calloway,to morphospecies SBBG-SR_001002,,1,,Pinned specimen,,PreservedSpecimen,UCRC ENT,,SBBG-SR,001006,,,Stephanie Calloway | Denise Knapp,,,,,4S-PT_20170621,,Pan Trap,,,,,2017,6,21,perennial grassland with 20% veg cover,,"one tipped over, one gone (fox?)",,4S_Center,Channel Islands,San Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,Soledad Ridge,464,,,,Zone10 E767604,Zone10 N3760345,33.94959,-120.10439,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
SBBG-SR_001007,n,SBBG-SR_001001,,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Apoidea,,Apidae,Apinae,,Eucerini,,Melissodes,,cf. lupina,,,male,Stephanie Calloway,to morphospecies SBBG-SR_001002,,1,,Pinned specimen,,PreservedSpecimen,UCRC ENT,,SBBG-SR,001007,,,Stephanie Calloway | Denise Knapp,,,,,4S-PT_20170621,,Pan Trap,,,,,2017,6,21,perennial grassland with 20% veg cover,,"one tipped over, one gone (fox?)",,4S_Center,Channel Islands,San Rosa Island,United States,California,Santa Barbara,,Soledad Ridge,Soledad Ridge,464,,,,Zone10 E767604,Zone10 N3760345,33.94959,-120.10439,NAD83 | GCS,,Casey H. Richart,7-May-20,,Montana State University | Google Earth,UTM coordinates were converted to decimal degrees using a Montana State University geographic unit converter found here http://www.rcn.montana.edu/resources/converter.aspx | elevational data was mined from Google Earth using converted coordinates,
